micro_cluster_id	main_field_seq	main_field_id	weight	is_primary_main_field
787	3	4	0.3333333333333333	False
788	1	1	0.5	True
788	2	2	0.5	False
789	1	5	1	True
790	1	2	1	True
791	1	5	1	True
792	1	5	1	True
793	1	2	1	True
794	1	1	1	True
795	1	2	0.5	True
795	2	1	0.5	False
796	1	5	1	True
797	1	1	1	True
798	1	3	1	True
799	1	5	1	True
800	1	2	0.5	True
800	2	3	0.5	False
801	1	4	0.5	True
801	2	5	0.5	False
802	1	1	1	True
803	1	5	0.5	True
803	2	1	0.5	False
804	1	2	0.5	True
804	2	1	0.5	False
805	1	3	0.5	True
805	2	5	0.5	False
806	1	3	1	True
807	1	3	1	True
808	1	3	0.5	True
808	2	5	0.5	False
809	1	1	0.5	True
809	2	5	0.5	False
810	1	3	1	True
811	1	3	1	True
812	1	5	1	True
813	1	1	0.5	True
813	2	2	0.5	False
814	1	2	1	True
815	1	4	1	True
816	1	2	1	True
817	1	3	1	True
818	1	3	1	True
819	1	4	1	True
820	1	5	1	True
821	1	2	1	True
822	1	3	1	True
823	1	2	1	True
824	1	5	1	True
825	1	4	1	True
826	1	1	1	True
827	1	2	0.5	True
827	2	1	0.5	False
828	1	5	1	True
829	1	5	1	True
830	1	2	1	True
831	1	2	1	True
832	1	2	1	True
833	1	2	0.5	True
833	2	1	0.5	False
834	1	3	1	True
835	1	3	1	True
836	1	2	0.5	True
836	2	3	0.5	False
837	1	2	1	True
838	1	4	0.5	True
838	2	2	0.5	False
839	1	2	1	True
840	1	3	1	True
841	1	1	0.5	True
841	2	4	0.5	False
842	1	3	1	True
843	1	2	0.5	True
843	2	1	0.5	False
844	1	2	1	True
845	1	1	0.5	True
845	2	5	0.5	False
846	1	3	1	True
847	1	5	1	True
848	1	5	1	True
849	1	5	1	True
850	1	3	1	True
851	1	5	0.5	True
851	2	3	0.5	False
852	1	2	1	True
853	1	2	0.5	True
853	2	1	0.5	False
854	1	2	1	True
855	1	2	1	True
856	1	1	1	True
857	1	3	1	True
858	1	2	1	True
859	1	3	1	True
860	1	5	1	True
861	1	2	1	True
862	1	5	0.5	True
862	2	2	0.5	False
863	1	2	0.5	True
863	2	5	0.5	False
864	1	3	1	True
865	1	3	1	True
866	1	2	1	True
867	1	2	1	True
868	1	5	0.5	True
868	2	3	0.5	False
869	1	2	0.3333333333333333	True
869	2	4	0.3333333333333333	False
869	3	3	0.3333333333333333	False
870	1	2	1	True
871	1	3	1	True
872	1	2	1	True
873	1	2	1	True
874	1	2	0.3333333333333333	True
874	2	5	0.3333333333333333	False
874	3	3	0.3333333333333333	False
