meso_cluster_id	source_seq	source_id	n_works
118	8	136026792	1916
118	9	106928643	1803
118	10	4306463230	1758
119	1	102181007	10774
119	2	4306402567	7851
119	3	2764892991	5796
119	4	52395412	2848
119	5	4306463937	2449
119	6	4210232526	2440
119	7	202381698	2351
119	8	2484704948	2106
119	9	2756006110	1873
119	10	134668137	1786
120	1	106296714	26256
120	2	4306400194	11390
120	3	4306463937	4758
120	4	50368787	2861
120	5	148324379	2367
120	6	4306402512	1913
120	7	90727058	1493
120	8	2898246533	1230
120	9	21029587	840
120	10	4210216081	840
121	1	4306525036	8191
121	2	28527816	3995
121	3	4306463937	3961
121	4	10058814	2502
121	5	15137598	2193
121	6	193617204	2128
121	7	195182175	2092
121	8	185605772	1830
121	9	181459644	1803
121	10	4306463230	1723
122	1	168584722	5566
122	2	98026630	5477
122	3	4306463230	3587
122	4	26760650	3578
122	5	134644764	3072
122	6	38919146	2522
122	7	64311837	2447
122	8	2737939966	2425
122	9	83853393	2153
122	10	106548112	2142
